Error while scraping https://www.hltv.org/stats/players/13186/cam?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/19738/djoko?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9260/vice?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/12094/1962?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/12612/pechyn?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/19698/adams?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/16893/stamina?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10443/basso?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/14954/void?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10463/bten?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9257/freddieb?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/12710/gmd?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/19190/liki?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8184/alex?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/973/szpero?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/17028/abr?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/12083/ydna?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/338/markeloff?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/7296/puls3?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/12101/neptune?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9103/rbz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8396/bendji?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/15204/vegi?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/5373/xelos?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/16769/realz1n?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/44/barbarr?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/339/ange1?startDate=2021-01-01&endDate=2021-12-31, skipping file
