player_name,rating_2.0,DPR,KAST,Impact,ADR,KPR,total_kills,HS%,total_deaths,KD_ratio,dmgPR,grenade_dmgPR,maps_played,rounds_played,APR,saved_by_teammatePR,saved_teammatesPR,rounds_with_kils,KD_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_W%_after_opening,opening_kill_in_W_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,maps_W%,rating_2.0_1+,rating_2.0_1+_streak,rating_1.0_all_Career,clutches_won_1on1,clutches_lost_1on1,clutches_won_1on2,clutches_won_1on3,clutches_won_1on4,clutches_won_1on5
zeph,0.743902439,0.372093023,0.658064516,0.831775701,0.659090909,0.759259259,0.243786608,0.232245681,0.214549938,0.652173913,0.659090909,0.14,0.100241546,0.239375174,0.25,0.5,0.5,0.251334304,0.471707085,0.301247772,0.214126394,0.444444444,0.827160494,0.743,0.693693694,0.217560377,0.243273967,0.257899231,0.200514139,0.162790698,0.071428571,0.088295269,0.223718887,0.07198748,0.289281998,0.211538462,0.063063063,0.730666667,0.56,0.242424242,0.476190355,0.153846154,0.153846154,0.088888889,0.076923077,0.0,0.0
rallen,0.841463415,0.325581395,0.835483871,0.728971963,0.855371901,0.814814815,0.149121418,0.547024952,0.122533909,0.713043478,0.855371901,0.26,0.053140097,0.141873706,0.6875,0.444444444,0.555555556,0.157690442,0.471231574,0.106060606,0.059479554,0.594202899,0.580246914,0.808,0.435435435,0.120548506,0.156877605,0.161400512,0.107969152,0.058139535,0.071428571,0.16048124,0.003513909,0.012519562,0.118626431,0.182692308,0.063063063,0.829333333,0.733,0.303030303,0.476190355,0.128205128,0.128205128,0.088888889,0.153846154,0.0,0.0
RCF,0.756097561,0.302325581,0.722580645,0.757009346,0.613636364,0.759259259,0.170967231,0.151631478,0.143958076,0.686956522,0.613636364,0.08,0.064009662,0.167836306,0.125,0.444444444,0.555555556,0.170790878,0.470756063,0.168449198,0.116728625,0.458937198,0.691358025,0.742,0.582582583,0.156365125,0.159151194,0.178479932,0.156812339,0.174418605,0.0,0.042618271,0.196193265,0.039123631,0.173777315,0.125,0.036036036,0.641333333,0.722,0.484848485,0.476190355,0.153846154,0.153846154,0.044444444,0.076923077,0.0,0.0
chelo,0.804878049,0.325581395,0.809677419,0.831775701,0.729338843,0.777777778,0.431059047,0.690978887,0.370992602,0.67826087,0.729338843,0.153333333,0.163043478,0.420433133,0.5,0.555555556,0.555555556,0.428190199,0.551592962,0.450089127,0.355390335,0.391304348,0.691358025,0.719,0.564564565,0.395210806,0.407730201,0.406490179,0.431876607,0.441860465,0.571428571,0.39824633,0.07057101,0.125195618,0.431841831,0.375,0.126126126,0.833333333,0.706,0.636363636,0.476190355,0.243589744,0.243589744,0.288888889,0.153846154,0.0,0.0
iM,0.780487805,0.372093023,0.741935484,0.76635514,0.803719008,0.796296296,0.524932721,0.428023033,0.458847102,0.660869565,0.803719008,0.13,0.195652174,0.503082634,0.4375,0.444444444,0.5,0.538088307,0.562529719,0.453654189,0.337546468,0.420289855,0.617283951,0.727,0.510510511,0.451698731,0.521788556,0.540563621,0.426735219,0.453488372,0.285714286,0.540375204,0.006442167,0.165884194,0.522372529,0.269230769,0.198198198,0.654666667,0.669,0.333333333,0.476190355,0.384615385,0.384615385,0.266666667,0.307692308,0.0,0.0
kauez,0.756097561,0.441860465,0.677419355,0.785046729,0.760330579,0.796296296,0.342251069,0.802303263,0.309340321,0.626086957,0.760330579,0.093333333,0.128019324,0.328486981,0.3125,0.5,0.611111111,0.343279961,0.475035663,0.310160428,0.265427509,0.347826087,0.604938272,0.782,0.57957958,0.300859599,0.327775673,0.33646456,0.30848329,0.406976744,0.142857143,0.362969005,0.008784773,0.037558685,0.337148803,0.115384615,0.072072072,0.648,0.636,0.242424242,0.476190355,0.307692308,0.307692308,0.222222222,0.538461538,0.0,0.0
juanflatroo,0.719512195,0.465116279,0.677419355,0.719626168,0.791322314,0.777777778,0.49311382,0.685220729,0.460696671,0.6,0.791322314,0.2,0.190821256,0.481314864,0.5,0.5,0.555555556,0.498059195,0.461245839,0.389483066,0.356133829,0.31884058,0.518518519,0.744,0.447447447,0.446172738,0.476695718,0.48676345,0.485861183,0.395348837,0.214285714,0.519779772,0.00556369,0.122065728,0.454734651,0.375,0.045045045,0.737333333,0.623,0.363636364,0.476190355,0.397435897,0.397435897,0.2,0.0,0.0,0.0
roeJ,0.817073171,0.395348837,0.75483871,0.85046729,0.842975207,0.796296296,0.584612949,0.581573896,0.519882861,0.643478261,0.842975207,0.156666667,0.230676329,0.562717253,0.5625,0.555555556,0.5,0.592430859,0.553495007,0.620320856,0.481040892,0.400966184,0.716049383,0.768,0.600600601,0.513507982,0.568018189,0.584970111,0.552699229,0.465116279,0.285714286,0.603588907,0.004099561,0.248826291,0.547346514,0.346153846,0.144144144,0.84,0.688,0.363636364,0.476190355,0.346153846,0.346153846,0.2,0.153846154,0.0,0.0
mou,0.695121951,0.279069767,0.783870968,0.635514019,0.551652893,0.648148148,0.09577331,0.107485605,0.085850801,0.626086957,0.551652893,0.123333333,0.039855072,0.102759745,0.25,0.444444444,0.5,0.102377487,0.424155968,0.079322638,0.05204461,0.492753623,0.567901235,0.678,0.42042042,0.096602538,0.103448276,0.103330487,0.064267352,0.046511628,0.0,0.02324633,0.112445095,0.031298905,0.087408949,0.076923077,0.018018018,0.628,0.647,0.212121212,0.476190355,0.064102564,0.064102564,0.088888889,0.153846154,0.2,0.0
WolfY,0.719512195,0.209302326,0.787096774,0.626168224,0.516528926,0.685185185,0.470634795,0.166986564,0.396115906,0.695652174,0.516528926,0.096666667,0.190821256,0.488910909,0.1875,0.5,0.5,0.504124212,0.592962435,0.396613191,0.255018587,0.507246377,0.592592593,0.747,0.447447447,0.454768727,0.52557787,0.438941076,0.393316195,0.290697674,0.0,0.163336052,0.493118594,0.095461659,0.420395421,0.298076923,0.063063063,0.737333333,0.642,0.212121212,0.476190355,0.474358974,0.474358974,0.6,0.230769231,0.2,0.0
